song_name,valence,energy,danceability,acousticness,tempo,liveness,mood
Slip On A Banana Clip,0.465,0.7879999999999999,0.755,0.0355,140.055,0.311,Energetic
A Death In The Ocean Would Be Beautiful,0.155,0.524,0.81,0.0444,122.016,0.105,Party
Shattered Amethyst,0.182,0.7020000000000001,0.8059999999999999,0.2739999999999999,211.95,0.3229999999999999,Party
Goosebumps,0.436,0.74,0.89,0.318,130.012,0.244,Party
Venom,0.392,0.573,0.909,0.0332,144.946,0.657,Party
Bury Me,0.1159999999999999,0.933,0.735,0.0185,129.988,0.1,Energetic
Hack Slash,0.266,0.987,0.698,0.0226,129.763,0.3429999999999999,Energetic
2000 Rounds,0.0658,0.6920000000000001,0.5770000000000001,0.372,144.702,0.0989,Chill
Sea Sick,0.545,0.7709999999999999,0.8270000000000001,0.0456,149.86700000000002,0.109,Energetic
Grain,0.228,0.7070000000000001,0.68,0.00914,159.941,0.0969999999999999,Chill
"Beware, the Sirens",0.0385,0.899,0.721,0.0116,142.018,0.126,Energetic
Kali Yuga,0.452,0.812,0.777,0.26,139.961,0.185,Energetic
Hexada,0.312,0.813,0.579,0.0605,215.218,0.365,Chill
Caligula,0.142,0.524,0.86,0.578,114.946,0.0993,Chill
Niagara (feat. Lil Peep),0.0679,0.508,0.425,0.0639,130.83700000000002,0.244,Chill
Scrying Through Shattered Glass,0.0722,0.695,0.494,0.00421,155.01,0.223,Chill
Polaris,0.0294,0.772,0.649,0.7170000000000001,219.946,0.103,Energetic
Rapture,0.82,0.758,0.8140000000000001,0.185,159.94,0.204,Happy
Blackmage,0.0755,0.856,0.37,0.4029999999999999,158.764,0.18,Chill
Tartarus,0.477,0.906,0.888,0.221,125.033,0.266,Energetic
Until the Light Takes Us,0.265,0.62,0.816,0.255,144.981,0.251,Party
As Above so Look out Below,0.0369,0.8390000000000001,0.713,0.00417,150.004,0.106,Energetic
Swan,0.0589,0.645,0.449,0.0095599999999999,219.692,0.107,Chill
Sneak Diss (feat. So6ix),0.8390000000000001,0.94,0.923,0.0204,139.804,0.136,Happy
Plague Doctor Mask,0.178,0.802,0.8320000000000001,0.3429999999999999,220.012,0.139,Energetic
Some of Us May Never See the World,0.0711,0.7120000000000001,0.569,0.3779999999999999,157.231,0.144,Chill
Filth,0.43,0.825,0.476,7.44e-05,168.298,0.115,Chill
Homecoming,0.0696,0.696,0.4029999999999999,0.00114,179.998,0.0722,Chill
Blood,0.0374,0.706,0.836,5.19e-05,120.045,0.0927,Party
Sweat,0.452,0.7090000000000001,0.818,0.00511,120.058,0.259,Party
Tears,0.0582,0.522,0.8490000000000001,0.0019,119.975,0.209,Chill
Anabolic,0.161,0.536,0.703,0.000883,180.048,0.139,Party
HDMI,0.118,0.298,0.708,0.698,124.863,0.304,Sad
Dirt,0.8029999999999999,0.721,0.852,0.354,136.07,0.11,Happy
Oxygen,0.136,0.514,0.6940000000000001,0.0336,120.011,0.115,Chill
Branches,0.105,0.3329999999999999,0.595,0.474,124.993,0.0998,Sad
CtrlAltDelete,0.175,0.8029999999999999,0.721,0.557,161.502,0.109,Energetic
BlastZone (ЗонаПоражения),0.133,0.616,0.846,0.0129,125.975,0.1009999999999999,Party
CharacterSelect (ВыборПерсонажа),0.184,0.5760000000000001,0.76,0.11,218.082,0.1939999999999999,Party
RestInPeace (Prod. by The Virus And Antidote),0.181,0.8170000000000001,0.529,0.0198,120.01,0.178,Chill
BlackMold,0.0911,0.514,0.5589999999999999,0.0203,139.614,0.0982,Chill
Toxin,0.462,0.59,0.965,0.607,129.004,0.0917,Party
Electric,0.235,0.8809999999999999,0.596,0.0031899999999999,172.139,0.0798,Chill
Cranium,0.5489999999999999,0.982,0.7120000000000001,0.0127,208.096,0.147,Energetic
Friday,0.545,0.873,0.6970000000000001,0.1369999999999999,132.999,0.22,Energetic
Hooky,0.26,0.516,0.841,0.0892,120.007,0.0781,Party
Kalaxian Crystals,0.0457,0.4629999999999999,0.7390000000000001,0.00673,200.092,0.423,Party
Slurp,0.6709999999999999,0.8909999999999999,0.865,0.0866,200.074,0.0842,Energetic
BROKE ft. Prohibeo,0.521,0.634,0.775,0.176,200.064,0.0628,Party
Lies,0.231,0.498,0.7390000000000001,0.136,139.86700000000002,0.0939,Party
Terry McGinnis,0.0595,0.578,0.725,0.0259,129.961,0.387,Party
Gremlin,0.256,0.8759999999999999,0.63,0.0166,210.134,0.223,Energetic
Giant Squit,0.348,0.838,0.7040000000000001,0.0854,119.866,0.102,Energetic
You Are Not Like Us,0.42,0.8109999999999999,0.735,0.11,207.852,0.528,Energetic
Arachnids,0.599,0.727,0.8640000000000001,0.0229,119.987,0.295,Motivational
Give Ah Fuck,0.3929999999999999,0.984,0.48,0.0484,139.958,0.472,Chill
Death Wish,0.156,0.823,0.726,0.0035299999999999,129.99200000000002,0.7070000000000001,Energetic
Allergies,0.401,0.765,0.755,0.0272,219.89,0.565,Energetic
Cut Throat,0.0379,0.445,0.8809999999999999,0.00209,124.972,0.114,Party
Memoirs of a Gorilla,0.295,0.98,0.8490000000000001,0.254,219.988,0.551,Energetic
Benz Truck (гелик),0.1119999999999999,0.762,0.602,0.0498,184.04,0.121,Energetic
Norf Norf,0.104,0.5429999999999999,0.924,0.432,199.99400000000003,0.11,Party
Dat $tick,0.159,0.493,0.919,0.14,216.152,0.122,Party
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",0.3329999999999999,0.6629999999999999,0.848,0.523,133.993,0.108,Party
Crazy,0.26,0.7879999999999999,0.475,0.231,206.056,0.128,Chill
Still Cold / Pathway Private,0.0813,0.41,0.762,0.278,200.094,0.157,Party
The Chills,0.6779999999999999,0.623,0.789,0.242,203.982,0.0835,Party
Slip on a Banana Clip,0.474,0.794,0.7559999999999999,0.0362,140.036,0.314,Energetic
Lights,0.736,0.546,0.799,0.185,150.00799999999998,0.0836,Party
Akina Speed Star,0.0603,0.273,0.931,0.00946,119.956,0.1369999999999999,Sad
Big Fish,0.763,0.547,0.898,0.484,200.02,0.37,Party
The Bodies Fall Just Like the Leaves,0.267,0.5589999999999999,0.835,0.0017699999999999,133.05200000000002,0.1159999999999999,Party
Story: No Title,0.0971,0.745,0.716,0.216,208.054,0.103,Party
P.S Fuck You Cunt (feat. Lil Peep),0.313,0.4589999999999999,0.723,0.0009599999999999,139.972,0.11,Party
Torch,0.271,0.736,0.8490000000000001,0.0049299999999999,147.904,0.0757,Party
"Buff Squad (feat. Pouya, Shakewell & Germ)",0.0671,0.509,0.762,0.148,120.054,0.155,Party
Sarcophagus III (feat. $Uicideboy$),0.308,0.74,0.7559999999999999,0.00834,123.049,0.6459999999999999,Party
Virginia Tech,0.529,0.846,0.727,0.0245,131.984,0.143,Energetic
Lte,0.0381,0.497,0.7829999999999999,0.0716,212.026,0.124,Party
Fuckthepopulation,0.278,0.5760000000000001,0.841,0.289,192.008,0.105,Party
Gloss of Blood,0.107,0.402,0.685,0.208,119.917,0.402,Chill
100K,0.484,0.449,0.556,0.0807,179.968,0.446,Chill
Dark Light,0.0362,0.45,0.625,0.0776,185.948,0.1169999999999999,Chill
"But Wait, There's More (feat. $uicideBoy$)",0.462,0.8240000000000001,0.8,0.0128,150.023,0.0527,Energetic
