song_name,valence,danceability,energy,tempo,liveness,loudness,speechiness,acousticness,mood
Slip On A Banana Clip,0.465,0.755,0.7879999999999999,140.055,0.311,-4.572,0.216,0.0355,Calm
A Death In The Ocean Would Be Beautiful,0.155,0.81,0.524,122.016,0.105,-6.705,0.0441,0.0444,Calm
Shattered Amethyst,0.182,0.8059999999999999,0.7020000000000001,211.95,0.3229999999999999,-6.643,0.0688,0.2739999999999999,Angry
Goosebumps,0.436,0.89,0.74,130.012,0.244,-4.303,0.223,0.318,Calm
Bury Me,0.1159999999999999,0.735,0.933,129.988,0.1,-2.151,0.0788,0.0185,Angry
Hack Slash,0.266,0.698,0.987,129.763,0.3429999999999999,-0.7340000000000001,0.1669999999999999,0.0226,Angry
Sea Sick,0.545,0.8270000000000001,0.7709999999999999,149.86700000000002,0.109,-4.374,0.318,0.0456,Calm
Grain,0.228,0.68,0.7070000000000001,159.941,0.0969999999999999,-5.132999999999999,0.127,0.00914,Angry
"Beware, the Sirens",0.0385,0.721,0.899,142.018,0.126,-4.07,0.057,0.0116,Angry
Kali Yuga,0.452,0.777,0.812,139.961,0.185,-5.146,0.0447,0.26,Calm
Hexada,0.312,0.579,0.813,215.218,0.365,-4.573,0.367,0.0605,Angry
Niagara (feat. Lil Peep),0.0679,0.425,0.508,130.83700000000002,0.244,-10.01,0.13,0.0639,Calm
Rapture,0.82,0.8140000000000001,0.758,159.94,0.204,-6.5120000000000005,0.384,0.185,Happy
Blackmage,0.0755,0.37,0.856,158.764,0.18,-5.489,0.401,0.4029999999999999,Angry
Tartarus,0.477,0.888,0.906,125.033,0.266,-4.0280000000000005,0.365,0.221,Calm
Until the Light Takes Us,0.265,0.816,0.62,144.981,0.251,-7.803999999999999,0.51,0.255,Angry
As Above so Look out Below,0.0369,0.713,0.8390000000000001,150.004,0.106,-6.377000000000001,0.349,0.00417,Angry
Swan,0.0589,0.449,0.645,219.692,0.107,-4.784,0.0366,0.0095599999999999,Angry
Sneak Diss (feat. So6ix),0.8390000000000001,0.923,0.94,139.804,0.136,-5.827999999999999,0.16,0.0204,Happy
Plague Doctor Mask,0.178,0.8320000000000001,0.802,220.012,0.139,-4.039,0.22,0.3429999999999999,Angry
Some of Us May Never See the World,0.0711,0.569,0.7120000000000001,157.231,0.144,-4.9110000000000005,0.347,0.3779999999999999,Angry
Filth,0.43,0.476,0.825,168.298,0.115,-3.941,0.0379,7.44e-05,Calm
Homecoming,0.0696,0.4029999999999999,0.696,179.998,0.0722,-5.956,0.236,0.00114,Angry
Blood,0.0374,0.836,0.706,120.045,0.0927,-4.065,0.0497,5.19e-05,Angry
Sweat,0.452,0.818,0.7090000000000001,120.058,0.259,-4.425,0.2689999999999999,0.00511,Calm
Tears,0.0582,0.8490000000000001,0.522,119.975,0.209,-5.513999999999999,0.151,0.0019,Calm
Anabolic,0.161,0.703,0.536,180.048,0.139,-4.323,0.297,0.000883,Calm
Dirt,0.8029999999999999,0.852,0.721,136.07,0.11,-7.4,0.0751,0.354,Happy
Oxygen,0.136,0.6940000000000001,0.514,120.011,0.115,-11.063,0.0449,0.0336,Calm
BlastZone (ЗонаПоражения),0.133,0.846,0.616,125.975,0.1009999999999999,-7.82,0.0669,0.0129,Angry
CharacterSelect (ВыборПерсонажа),0.184,0.76,0.5760000000000001,218.082,0.1939999999999999,-8.238,0.0491,0.11,Calm
RestInPeace (Prod. by The Virus And Antidote),0.181,0.529,0.8170000000000001,120.01,0.178,-10.039,0.0945,0.0198,Angry
BlackMold,0.0911,0.5589999999999999,0.514,139.614,0.0982,-8.78,0.0523,0.0203,Calm
Electric,0.235,0.596,0.8809999999999999,172.139,0.0798,-4.566,0.2689999999999999,0.0031899999999999,Angry
Cranium,0.5489999999999999,0.7120000000000001,0.982,208.096,0.147,-2.386,0.289,0.0127,Calm
Friday,0.545,0.6970000000000001,0.873,132.999,0.22,-3.189,0.206,0.1369999999999999,Calm
Hooky,0.26,0.841,0.516,120.007,0.0781,-12.32,0.28,0.0892,Calm
Slurp,0.6709999999999999,0.865,0.8909999999999999,200.074,0.0842,-5.617999999999999,0.265,0.0866,Happy
BROKE ft. Prohibeo,0.521,0.775,0.634,200.064,0.0628,-7.535,0.105,0.176,Calm
Lies,0.231,0.7390000000000001,0.498,139.86700000000002,0.0939,-7.447999999999999,0.371,0.136,Calm
Terry McGinnis,0.0595,0.725,0.578,129.961,0.387,-8.311,0.0864,0.0259,Calm
Gremlin,0.256,0.63,0.8759999999999999,210.134,0.223,-4.871,0.1889999999999999,0.0166,Angry
