City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,1/1/2019,110.71,,63.03,111.56,100.04,,63.03,80.15,57.12,4.08,32.33,6.93,1474,Severe
Ahmedabad,1/2/2019,147.57,,59.56,107.46,129.87,,59.56,47.7,48.23,4.1,32.34,6.99,1246,Severe
Ahmedabad,1/3/2019,131.5,,119.68,75.82,88.04,,119.68,55.29,43.25,4.09,32.42,7,1719,Severe
Ahmedabad,1/4/2019,102.12,,57.92,95.29,54.93,,57.92,69.02,51.71,4.09,32.38,6.98,1264,Severe
Ahmedabad,1/5/2019,115,,63.86,111.04,61.99,,63.86,86.65,59.25,4.12,32.43,6.97,1127,Severe
Ahmedabad,1/6/2019,84.84,,40.16,72.85,39.55,,40.16,52.52,59.42,4.12,32.35,7.02,908,Severe
Ahmedabad,1/7/2019,74.62,,8.16,73.22,21.96,,8.16,48.21,74.83,4.12,32.35,6.99,236,Poor
Ahmedabad,1/8/2019,89.72,,13.83,80.78,26.92,,13.83,56.43,73.64,4.09,32.39,6.99,313,Very Poor
Ahmedabad,1/9/2019,84.03,,26.24,90.66,36.19,,26.24,63.72,72.75,4.13,32.39,7.07,471,Severe
Ahmedabad,1/10/2019,82.79,,32.14,79.69,36.86,,32.14,59.98,60.48,4.14,32.36,7.02,661,Severe
Ahmedabad,1/11/2019,76.38,,42.44,82.76,43.33,,42.44,70.61,59.68,4.12,32.37,7.02,711,Severe
Ahmedabad,1/12/2019,66.01,,53.08,73.79,46.37,,53.08,61.71,73.43,4.11,32.35,6.96,854,Severe
Ahmedabad,1/13/2019,116.42,,63.2,82.77,54.86,,63.2,64.52,59.07,4.16,32.4,6.95,1258,Severe
Ahmedabad,1/14/2019,75.49,,9.04,61.8,19.74,,9.04,34.03,80.26,4.16,32.44,7.03,407,Severe
Ahmedabad,1/15/2019,66.97,,6.96,37.35,12.77,,6.96,28.48,89.73,4.11,32.42,7.03,172,Moderate
Ahmedabad,1/16/2019,161.09,,101.89,116.48,108.56,,101.89,64.92,84.85,4.06,32.36,6.94,116,Moderate
Ahmedabad,1/17/2019,124.45,,96.21,97.63,81.12,,96.21,56.28,53.72,4.11,32.36,6.97,1302,Severe
Ahmedabad,1/18/2019,95.15,,48.24,95.6,49.59,,48.24,79.66,52.85,4.12,32.33,6.96,1275,Severe
Ahmedabad,1/19/2019,73.58,,32.68,80.71,37.41,,32.68,56.74,36.97,4.1,32.3,6.96,527,Severe
Ahmedabad,1/20/2019,86.32,,49.43,104.79,54.37,,49.43,79.76,35.32,4.1,32.33,6.95,839,Severe
Ahmedabad,1/21/2019,149.26,,78.38,85.92,65.56,,78.38,98.89,27.07,4.1,32.4,6.95,1537,Severe
Ahmedabad,1/22/2019,70.06,,26.17,55.69,27.82,,26.17,62.14,23.56,4.09,32.34,7.02,547,Severe
Ahmedabad,1/23/2019,86.59,,40.08,82.87,42.04,,40.08,83.72,32.62,4.11,32.35,6.95,716,Severe
Ahmedabad,1/24/2019,74.12,,18.26,81.45,29.55,,18.26,94.78,39.51,4.12,32.33,6.92,464,Severe
Ahmedabad,1/25/2019,52.92,,11.03,63.81,21.32,,11.03,63.17,43.54,4.07,32.32,6.95,302,Very Poor
Ahmedabad,1/26/2019,47.26,,16.22,64.71,24.43,,16.22,63.03,20,4.04,32.31,6.95,260,Poor
Ahmedabad,1/27/2019,52.79,,18.13,59.21,24.19,,18.13,37.29,,4.07,32.34,6.93,430,Severe
Ahmedabad,1/28/2019,63.68,,22.56,67.41,28.61,,22.56,37.73,53.12,4.06,32.32,6.93,477,Severe
Ahmedabad,1/29/2019,73.37,,16.1,77.92,27.51,,16.1,38.59,39.08,4.05,32.28,6.92,491,Severe
Ahmedabad,1/30/2019,55.24,,34.37,83.79,39.08,,34.37,78.4,40.04,4.01,32.3,6.94,470,Severe
Ahmedabad,1/31/2019,83.1,,37.91,110.77,47.47,,37.91,94.79,44.33,4.06,32.31,6.93,847,Severe
Ahmedabad,2/1/2019,76.87,,17.85,77.35,28.34,,17.85,87.94,36.28,4.05,32.3,6.93,559,Severe
Ahmedabad,2/2/2019,47.01,,13.12,66.95,23.24,,13.12,71.48,45.06,4.04,32.33,6.92,334,Very Poor
Ahmedabad,2/3/2019,54.77,,11.01,77.02,24.46,,11.01,64.47,53.55,4.08,32.36,6.94,346,Very Poor
Ahmedabad,2/4/2019,103.13,,46.91,80.34,45.24,,46.91,56.3,52.37,4.08,32.31,7.02,529,Severe
Ahmedabad,2/5/2019,117.59,,61.13,116.34,61.73,,61.13,76.89,42.29,4.12,32.36,7.06,1261,Severe
Ahmedabad,2/6/2019,50.15,,9.02,67.96,21.2,,9.02,57.09,47.5,4.08,32.29,6.94,254,Poor
Ahmedabad,2/7/2019,94.1,,10.62,44.91,16.6,,10.62,42.04,55.84,4.08,32.31,6.93,308,Very Poor
Ahmedabad,2/8/2019,105.03,,10.13,56.09,18.99,,10.13,41.4,43.09,4.07,32.3,6.97,290,Poor
Ahmedabad,2/9/2019,46.5,,15.39,79.42,27.47,,15.39,41.88,41.7,4.08,32.33,6.9,340,Very Poor
Ahmedabad,2/10/2019,41.76,,20.48,77.13,29.76,,20.48,55.24,44.7,4.06,32.31,6.91,492,Severe
Ahmedabad,2/11/2019,46.91,,14.6,86.07,28.61,,14.6,51.46,51.3,4.05,32.32,6.92,343,Very Poor
Ahmedabad,2/12/2019,59.98,,50.93,76.66,46.6,,50.93,53.21,53.67,4.09,32.32,6.9,604,Severe
Ahmedabad,2/13/2019,82.79,,45.8,86.15,47.96,,45.8,93.37,52.04,4.11,32.28,6.99,1028,Severe
Ahmedabad,2/14/2019,62.6,,19.59,65.12,26.31,,19.59,38.05,57.79,4.1,32.36,6.95,755,Severe
Ahmedabad,2/15/2019,72.53,,20.61,102.5,35.87,,20.61,45.85,46.37,4.12,32.31,6.98,489,Severe
Ahmedabad,2/16/2019,44.69,,32.07,75.36,35.79,,32.07,39.99,53.96,4.1,32.37,6.98,373,Very Poor
Ahmedabad,2/17/2019,54.18,,35.1,83.9,39.51,,35.1,51.23,51.56,4.09,32.34,7.03,914,Severe
Ahmedabad,2/18/2019,81.84,,28.68,104.86,40.93,,28.68,87.99,43.05,4.1,32.4,7.02,895,Severe
Ahmedabad,2/19/2019,46.48,,17.55,60.72,24.22,,17.55,42.93,39.32,4.22,32.37,6.99,502,Severe
Ahmedabad,2/20/2019,62.32,,64.13,83.57,55.67,,64.13,38.91,32.1,4.16,32.41,7,834,Severe
Ahmedabad,2/21/2019,37.26,,8.83,37.95,13.95,,8.83,23.36,29.13,4.1,32.37,7.03,826,Severe
Ahmedabad,2/22/2019,37.96,,16.2,48.69,20.61,,16.2,19.56,15.47,4.11,32.4,7.03,403,Severe
Ahmedabad,2/23/2019,34.1,,12.42,67.07,22.88,,12.42,42.34,59.67,4.09,32.42,6.97,253,Poor
Ahmedabad,2/24/2019,64.5,,56.57,77.32,49.9,,56.57,52.95,39.14,4.14,32.38,7.02,789,Severe
Ahmedabad,2/25/2019,50.97,,42.41,49.52,35.15,,42.41,38.67,43.21,4.1,32.38,7.02,904,Severe
Ahmedabad,2/26/2019,64.44,,13.19,45.6,18.2,,13.19,33.91,33.88,4.15,32.37,7.08,467,Severe
Ahmedabad,2/27/2019,51.5,,12.26,52.88,19.41,,12.26,29.79,38.45,4.17,32.4,7.09,296,Poor
Ahmedabad,2/28/2019,33.38,,14.07,73.92,25.42,,14.07,50.46,48.39,4.15,32.38,7.04,307,Very Poor
Ahmedabad,3/1/2019,42.11,,14.18,84.67,28.04,,14.18,49.29,47.63,4.11,32.38,6.94,350,Very Poor
Ahmedabad,3/2/2019,46.35,,9.25,69.51,21.69,,9.25,62.8,69.79,4.08,32.34,7.07,318,Very Poor
Ahmedabad,3/3/2019,61.32,,15.88,48.4,20.36,,15.88,49.88,21.17,4.16,32.45,7.04,338,Very Poor
Ahmedabad,3/4/2019,48.84,,9.85,42.96,15.71,,9.85,26.4,51.34,4.1,32.38,7.04,276,Poor
Ahmedabad,3/5/2019,39.23,,12.69,67.29,23.08,,12.69,33.79,59.73,4.07,32.33,7.03,286,Poor
Ahmedabad,3/6/2019,45.37,,23.56,72.21,30.3,,23.56,45.56,49.33,4.17,32.33,6.98,461,Severe
Ahmedabad,3/7/2019,55.7,,34.47,72.07,36.24,,34.47,51.26,52.99,4.12,32.38,7.03,824,Severe
Ahmedabad,3/8/2019,54.11,,48.38,54.45,38.8,,48.38,45.55,41.35,4.15,32.45,7.1,754,Severe
Ahmedabad,3/9/2019,52.68,,29.23,47.19,26.52,,29.23,15.13,57.32,4.16,32.43,7.08,926,Severe
Ahmedabad,3/10/2019,44.12,,10.66,79.99,24.97,,10.66,60.68,61.08,4.17,32.44,7.06,280,Poor
Ahmedabad,3/11/2019,46.52,,17.55,48.97,21.43,,17.55,38.16,47.77,4.12,32.42,7.08,310,Very Poor
Ahmedabad,3/12/2019,57.06,,34.49,100.8,43.19,,34.49,60.72,48.13,4.11,32.35,7.05,606,Severe
Ahmedabad,3/13/2019,84.14,,15.24,107.41,34.05,,15.24,79.47,50.53,4.07,32.43,7.04,632,Severe
Ahmedabad,3/14/2019,52.24,,10.75,61.88,20.71,,10.75,24.81,56.16,4.1,32.37,6.95,262,Poor
Ahmedabad,3/15/2019,62.44,,26.15,84.42,34.65,,26.15,48.85,58.49,4.1,32.38,6.98,428,Severe
Ahmedabad,3/16/2019,66.97,,17.21,91.72,31.41,,17.21,62.66,59.98,4.11,32.39,7.03,625,Severe
Ahmedabad,3/17/2019,75.05,,12.67,96.99,30.14,,12.67,58.55,64.12,4.11,32.4,6.97,321,Very Poor
Ahmedabad,3/18/2019,60.5,,18.21,104.48,35,,18.21,41.81,56.66,4.11,32.34,7.03,353,Very Poor
Ahmedabad,3/19/2019,88.33,,80.16,95.95,73.2,,80.16,39.24,45.03,4.08,32.36,7.01,1017,Severe
Ahmedabad,3/20/2019,78.11,,13.65,60.29,21.95,,13.65,40.62,29.9,4.13,32.29,6.97,876,Severe
Ahmedabad,3/21/2019,62.04,,24.16,60.52,29.65,,24.16,38.14,41.42,4.12,32.34,6.98,380,Very Poor
Ahmedabad,3/22/2019,73.98,,43.21,64.62,40.71,,43.21,28.52,48.02,4.1,32.34,6.99,730,Severe
Ahmedabad,3/23/2019,75.84,,41.7,95.28,46.74,,41.7,54.31,50.85,4.14,32.29,7.02,998,Severe
Ahmedabad,3/24/2019,92.21,,26.17,69.96,60.01,,26.17,39.96,43.76,4.13,32.37,7.03,917,Severe
Ahmedabad,3/25/2019,64.71,,20.95,81.65,31.09,,20.95,65.11,38.94,4.09,32.4,6.99,402,Severe
Ahmedabad,3/26/2019,67.44,,15.64,86.7,29.34,,15.64,61.6,47.12,4.13,32.33,6.98,404,Severe
Ahmedabad,3/27/2019,69.51,,54.2,85.74,53.69,,54.2,69.03,63.51,4.13,32.34,7.03,559,Severe
Ahmedabad,3/28/2019,112.44,,61.37,88.16,69.9,,61.37,88.25,41.77,4.19,32.47,7.03,1459,Severe
Ahmedabad,3/29/2019,133.21,,50,62.67,47.93,,50,45.16,24.82,4.2,32.49,7.06,1222,Severe
Ahmedabad,3/30/2019,89.74,,33.94,68.97,35.31,,33.94,9.65,17.76,4.14,32.47,7.07,869,Severe
Ahmedabad,3/31/2019,74.35,,11.84,58.93,24.38,,11.84,10.22,28.63,4.16,32.38,7,471,Severe
Ahmedabad,4/1/2019,96.96,,16.25,88.34,42.22,,16.25,15.4,30.19,4.21,32.45,7.08,353,Very Poor
Ahmedabad,4/2/2019,122.78,,36.74,99.37,75.89,,36.74,15.97,25.6,4.21,32.53,7.11,679,Severe
Ahmedabad,4/3/2019,109.21,,47.6,90.25,79.91,,47.6,13.25,26.93,4.22,32.5,7.17,688,Severe
Ahmedabad,4/4/2019,94.41,,20.27,84.32,56.25,,20.27,9.95,21.82,4.2,32.43,7.17,1044,Severe
Ahmedabad,4/5/2019,97.92,,23.05,75.36,53.96,,23.05,11.42,17.98,4.21,32.54,7.06,537,Severe
Ahmedabad,4/6/2019,97.68,,21.56,72.48,51.45,,21.56,12.63,20.2,4.18,32.42,7.08,420,Severe
Ahmedabad,4/7/2019,99.9,,24.47,56.89,46.01,,24.47,15.72,15.01,4.21,32.43,7.08,534,Severe
Ahmedabad,4/8/2019,78.55,,26.28,69.17,53.36,,26.28,11.52,18.04,4.18,32.45,7.09,472,Severe
Ahmedabad,4/9/2019,73.58,,19.53,63.23,45.42,,19.53,11.56,26.46,4.22,32.51,7.09,493,Severe
Ahmedabad,4/10/2019,64.02,,51.44,40.04,56.47,,51.44,6.21,13.73,4.16,32.52,7.14,566,Severe
Ahmedabad,4/11/2019,81.22,,65.1,44.75,67.79,,65.1,7.27,15.7,4.23,32.46,7.16,1121,Severe
Ahmedabad,4/12/2019,75.74,,21.38,67.43,48.85,,21.38,8.99,17.56,4.2,32.5,7.11,944,Severe
Ahmedabad,4/13/2019,70.14,,20.83,68.1,48.76,,20.83,5.29,27.51,4.23,32.6,7.14,395,Very Poor
Ahmedabad,4/14/2019,67.2,,11.75,57.38,36.76,,11.75,7.75,46.45,4.23,32.52,7.18,406,Severe
Ahmedabad,4/15/2019,225.49,,29.7,62.65,51.85,,29.7,30.33,36.29,4.18,32.5,7.11,649,Severe
Ahmedabad,4/16/2019,182.46,,15.24,59.22,40.26,,15.24,49.94,48.98,4.23,32.5,7.17,428,Severe
Ahmedabad,4/17/2019,95.69,,9.19,60.62,36.3,,9.19,85.28,75.85,4.19,32.5,7.12,392,Very Poor
Ahmedabad,4/18/2019,93.12,,8.88,72.4,41.94,,8.88,36.52,74.03,4.19,32.49,7.11,274,Poor
Ahmedabad,4/19/2019,64.3,,10.74,95.27,54.49,,10.74,57.46,74.2,4.19,32.52,7.15,354,Very Poor
Ahmedabad,4/20/2019,81.71,,23.23,128.87,79.56,,23.23,91.79,77.88,4.2,32.51,7.08,419,Severe
Ahmedabad,4/21/2019,66.39,,60.25,77.36,83.16,,60.25,50.53,63.95,4.16,32.47,7.06,1205,Severe
Ahmedabad,4/22/2019,92.59,,35.37,92.43,71.48,,35.37,72.51,63.21,4.18,32.45,7.07,778,Severe
Ahmedabad,4/23/2019,84.47,,27.88,85.23,63.88,,27.88,70.3,59.98,4.21,32.42,7.08,730,Severe
Ahmedabad,4/24/2019,76.98,,9.49,43.57,28.34,,9.49,51.35,40.16,4.31,32.51,7.17,608,Severe
Ahmedabad,4/25/2019,,,,,,,,,,,,,,
Ahmedabad,4/26/2019,,,,,,,,,,,,,,
Ahmedabad,4/27/2019,84.95,,38.54,63.41,79.01,,38.54,54.58,69.89,4.19,32.44,7.12,,
Ahmedabad,4/28/2019,91.99,,75.71,46.84,82.03,,75.71,42.2,51.25,4.14,32.49,7.13,1346,Severe
Ahmedabad,4/29/2019,110.7,,11.92,49.22,32.91,,11.92,49.14,57.93,4.15,32.46,7.1,1015,Severe
Ahmedabad,4/30/2019,132.76,,9.13,65.49,38.76,,9.13,55.8,78.36,4.16,32.36,7.03,255,Poor
Ahmedabad,5/1/2019,113.47,,23.43,70.08,51.67,,23.43,83.88,49.54,4.15,32.44,7.07,518,Severe
Ahmedabad,5/2/2019,101.68,,24.04,76.61,55.31,,24.04,106.65,64.47,4.14,32.48,7.02,604,Severe
Ahmedabad,5/3/2019,86.07,,13.77,62.42,40.29,,13.77,96.27,41.5,4.19,32.43,7.13,315,Very Poor
Ahmedabad,5/4/2019,72.58,,14.52,54.32,37.33,,14.52,77.82,2.97,4.21,32.49,7.08,326,Very Poor
Ahmedabad,5/5/2019,81.79,,19.4,58.23,42.89,,19.4,136.27,3.02,4.15,32.45,7.11,449,Severe
Ahmedabad,5/6/2019,72.54,,23.99,74.87,54.42,,23.99,98.42,3.11,4.19,32.45,7.06,455,Severe
Ahmedabad,5/7/2019,58.71,,12.69,70.34,31.99,,12.69,66.1,2.16,4.18,32.32,7.06,398,Very Poor
Ahmedabad,5/8/2019,72.51,,15.56,57.84,39.83,,15.56,88.54,3.12,4.19,32.52,7.11,346,Very Poor
Ahmedabad,5/9/2019,43.83,,11.8,43.77,17,,11.8,46.28,3.13,4.09,32.35,6.94,291,Poor
Ahmedabad,5/10/2019,15.52,,,,0,,,1.31,,3.78,28.55,6.81,,
Ahmedabad,5/11/2019,,,,,0,,,,,0,0,0,,
Ahmedabad,5/12/2019,,,,,0,,,,,0,0,0,,
Ahmedabad,5/13/2019,,,,,0,,,,,0,0,0,,
Ahmedabad,5/14/2019,46.04,141.54,17.26,130.23,49.54,,17.26,107.28,48.32,8.89,52.6,8.78,,
Ahmedabad,5/15/2019,37.55,122.41,15.08,85.12,58.72,,15.08,163.01,48.23,16.44,85.54,14.19,281,Poor
Ahmedabad,5/16/2019,33.97,116.32,14.67,79.71,55.61,,14.67,91.26,51.86,15.55,83.89,13.15,330,Very Poor
Ahmedabad,5/17/2019,35.48,130.07,18.02,77.61,58.41,,18.02,98.35,38.99,15.88,83.83,13.34,356,Very Poor
Ahmedabad,5/18/2019,34.11,138.31,13.27,75.23,51.83,,13.27,88.66,42.22,15.93,82.73,13.44,359,Very Poor
Ahmedabad,5/19/2019,33.69,111.73,34.56,68.9,69.77,,34.56,80.9,36.95,15.53,84.17,13.19,547,Severe
Ahmedabad,5/20/2019,42.31,118.65,17.47,81.84,59.84,,17.47,89.57,46.68,15.98,83.87,13.6,813,Severe
Ahmedabad,5/21/2019,24.6,103.88,11.03,81.24,52.21,,11.03,80.74,46.65,15.31,82.95,11.66,321,Very Poor
Ahmedabad,5/22/2019,27.93,103.3,11.44,76.75,50.49,,11.44,86.48,54.34,15.6,84.17,13.6,270,Poor
Ahmedabad,5/23/2019,41.39,135.65,14.29,89.1,59.76,,14.29,105.96,49.7,16.33,83.95,13.48,323,Very Poor
Ahmedabad,5/24/2019,46.79,148,14.31,93.27,61.82,,14.31,131.04,56.31,15.21,82.4,11.95,344,Very Poor
Ahmedabad,5/25/2019,51.63,156.97,17.96,89.18,63.98,,17.96,134.22,49.62,15.72,83.2,13.93,404,Severe
Ahmedabad,5/26/2019,63.15,177.87,28.03,100.08,80.78,,28.03,122.43,50.32,17.05,84.59,13.16,558,Severe
Ahmedabad,5/27/2019,57.47,163.36,21.39,112.68,79.36,,21.39,143.3,52.19,16.47,84.11,13.58,435,Severe
Ahmedabad,5/28/2019,50.27,156.63,21.02,103.05,74.24,,21.02,118.55,49.86,16.92,85.28,14.2,440,Severe
Ahmedabad,5/29/2019,42.02,140.66,16.43,71.51,53.58,,16.43,82.75,52.44,16.99,85.25,13.8,374,Very Poor
Ahmedabad,5/30/2019,48.74,153.69,19.89,91.02,67.08,,19.89,138.12,52.86,17.04,83.72,13.55,515,Severe
Ahmedabad,5/31/2019,46.51,136.34,16.75,85.37,60.74,,16.75,145.55,44.53,15.68,84.55,13.67,360,Very Poor
Ahmedabad,6/1/2019,48.1,142.06,23.83,70.71,61.67,,23.83,142.52,40.22,15.5,84.08,12.18,467,Severe
Ahmedabad,6/2/2019,41.38,119.91,21.8,70.35,59.18,,21.8,134.76,41.5,15.9,83.78,14.01,402,Severe
Ahmedabad,6/3/2019,46.46,134.2,22.33,74.31,61.71,,22.33,137.83,47.63,14.5,81.45,10.98,419,Severe
Ahmedabad,6/4/2019,39.68,117.51,20.89,77.12,61.44,,20.89,139.31,71.62,12.58,79.02,7.46,408,Severe
Ahmedabad,6/5/2019,38.27,113.84,18.87,61.74,51.63,,18.87,112.15,82.73,115.14,371.65,,402,Severe
Ahmedabad,6/6/2019,35.06,127.56,12.63,68.94,48.03,,12.63,101.14,75.71,26.24,85.15,94.48,303,Very Poor
Ahmedabad,6/7/2019,30.07,124.01,15.49,122.88,78.85,,15.49,31.67,70.29,,,,354,Very Poor
Ahmedabad,6/8/2019,48.74,135.9,16.38,154.42,94,,16.38,58.6,73.95,7.29,80.04,2.05,358,Very Poor
Ahmedabad,6/9/2019,35.3,120.77,15.2,146.65,88.87,,15.2,127.62,81.55,29.46,141.33,14.86,324,Very Poor
Ahmedabad,6/10/2019,34.31,115.46,16.31,127.02,80.56,,16.31,121.46,80.39,26.9,256.09,56.49,360,Very Poor
Ahmedabad,6/11/2019,33.97,107.59,15.38,135.26,83.52,,15.38,100.23,90.29,7.91,123.47,49.93,348,Very Poor
Ahmedabad,6/12/2019,41.08,156.33,12.8,140.5,83.14,,12.8,91.23,85.2,6.3,87.51,33.1,333,Very Poor
Ahmedabad,6/13/2019,25.56,77.07,13.75,120.8,74.61,,13.75,58.37,88.79,6.3,80.04,1.48,321,Very Poor
Ahmedabad,6/14/2019,26.75,103.12,14.4,112.66,71.38,,14.4,60.94,77.88,6.3,80.04,1.48,338,Very Poor
Ahmedabad,6/15/2019,32.71,96.84,18.89,116.69,78.46,,18.89,48.67,53.57,6.3,80.04,1.48,369,Very Poor
Ahmedabad,6/16/2019,32.79,107.15,25.17,103.69,79.28,,25.17,30.37,30.45,6.3,80.04,1.48,397,Very Poor
Ahmedabad,6/17/2019,28.02,104.64,25.92,115.78,86.11,,25.92,42.55,21.04,6.3,80.04,1.48,414,Severe
Ahmedabad,6/18/2019,26.92,72.7,22.25,130.64,89.1,,22.25,25.9,24.37,6.3,80.04,1.48,363,Very Poor
Ahmedabad,6/19/2019,69.38,171.87,19.2,145.75,92.99,,19.2,37.85,7.21,6.3,80.04,1.48,371,Very Poor
Ahmedabad,6/20/2019,42.08,125.62,30.2,155.72,113.35,,30.2,33.25,41.97,6.3,80.04,1.48,565,Severe
Ahmedabad,6/21/2019,35.67,103.64,18.86,147.44,93.61,,18.86,25.28,74.84,6.3,80.04,1.48,348,Very Poor
Ahmedabad,6/22/2019,63.09,152.67,12.65,163.54,110.17,,12.65,26.31,113.94,6.3,80.04,1.48,184,Moderate
Ahmedabad,6/23/2019,46.13,102.66,14.35,146.55,87.86,,14.35,39.92,108.07,6.3,80.04,1.48,328,Very Poor
Ahmedabad,6/24/2019,57.49,115.42,21.05,277.31,162.63,,21.05,37.43,101.47,6.3,80.04,1.48,440,Severe
Ahmedabad,6/25/2019,49.23,97.91,19.38,174.15,107.05,,19.38,20.97,90.33,6.3,80.04,1.48,411,Severe
Ahmedabad,6/26/2019,70.03,136.54,24.95,213.58,136.58,,24.95,28.94,52.14,6.3,80.04,1.48,469,Severe
Ahmedabad,6/27/2019,60.03,109.4,25.55,176.24,117.3,,25.55,35.87,52.95,6.3,80.04,1.48,436,Severe
Ahmedabad,6/28/2019,49.43,102.77,29.88,164.64,114.39,,29.88,44.06,31.31,6.3,80.04,1.48,517,Severe
Ahmedabad,6/29/2019,59.63,112.5,41.59,184.07,141.36,,41.59,38.49,21.31,6.3,80.04,1.48,640,Severe
Ahmedabad,6/30/2019,53.13,117.3,29.06,107.86,84.37,,29.06,30.43,43.43,6.23,79.21,1.46,465,Severe
Ahmedabad,7/1/2019,43.22,104.74,28.45,168.15,117.79,,28.45,40.42,69.91,6.23,79.21,1.46,486,Severe
Ahmedabad,7/2/2019,44.75,114.84,24.72,119.51,88.78,,24.72,48.21,58.82,6.3,80.04,1.48,446,Severe
Ahmedabad,7/3/2019,44.27,96.61,24.13,118.73,95.73,,24.13,47.13,49.16,6.3,80.04,1.48,426,Severe
Ahmedabad,7/4/2019,47.77,102.68,39.11,144.03,114.85,,39.11,44.8,21.77,6.3,80.04,1.48,534,Severe
Ahmedabad,7/5/2019,47.88,116.88,37.12,106.12,94.1,,37.12,35.22,23.22,6.3,80.04,1.48,610,Severe
Ahmedabad,7/6/2019,47.71,100.89,34.67,171.04,122.97,,34.67,40.63,21.04,6.3,80.04,1.48,491,Severe
Ahmedabad,7/7/2019,34.72,80.67,26.15,148.91,102.6,,26.15,32.86,50.85,6.3,80.04,1.48,451,Severe
Ahmedabad,7/8/2019,37.99,113.3,35.85,113.12,96.06,,35.85,32.57,27.37,6.3,80.04,1.48,509,Severe
Ahmedabad,7/9/2019,41.69,120.12,36.14,137.36,108.22,,36.14,30.42,27.49,6.3,80.04,1.48,491,Severe
Ahmedabad,7/10/2019,45.31,128.97,40.51,157.22,122.89,,40.51,31.64,33.43,6.3,80.04,1.48,524,Severe
Ahmedabad,7/11/2019,43.48,116.84,37.34,103.67,93.15,,37.34,91.4,30.35,6.3,80.04,1.48,575,Severe
Ahmedabad,7/12/2019,41.97,109.2,30.92,107.17,87.53,,30.92,96.35,34.38,6.3,80.04,1.48,490,Severe
Ahmedabad,7/13/2019,38.49,101.6,36.22,117.03,98.39,,36.22,103.19,33.11,6.3,80.04,1.48,503,Severe
Ahmedabad,7/14/2019,41.7,109.85,24.82,102.72,78.41,,24.82,102.03,49.25,6.3,80.04,1.48,469,Severe
Ahmedabad,7/15/2019,42.43,116.7,32.1,114.44,92.42,,32.1,142.27,38.2,6.3,80.04,1.48,455,Severe
Ahmedabad,7/16/2019,38.99,114.94,31.97,103.79,87.09,,31.97,156.48,32.57,6.3,80.04,1.48,488,Severe
Ahmedabad,7/17/2019,34.92,114.11,30.5,110.39,88.63,,30.5,116.97,37.07,6.3,80.04,1.48,513,Severe
Ahmedabad,7/18/2019,32.7,105.78,26,103.72,80.25,,26,132.41,45.92,6.3,80.04,1.48,466,Severe
Ahmedabad,7/19/2019,44.65,120.74,25.34,135.12,94.8,,25.34,104.15,58.38,6.3,80.04,1.48,429,Severe
Ahmedabad,7/20/2019,51.63,130.55,27.48,156.06,107.47,,27.48,109.13,52.03,6.3,80.04,1.48,459,Severe
Ahmedabad,7/21/2019,48.67,104.86,17.33,152.96,94.37,,17.33,92.83,76.38,6.3,80.04,1.48,385,Very Poor
Ahmedabad,7/22/2019,37.73,82.63,13.1,115.28,71.17,,13.1,53.67,113.3,6.3,80.04,1.48,309,Very Poor
Ahmedabad,7/23/2019,73.98,202.3,17.81,168.45,107.32,,17.81,35.04,70.3,6.3,80.04,1.48,587,Severe
Ahmedabad,7/24/2019,52.55,172.36,27.02,99.11,79.15,,27.02,46.88,57.81,6.3,80.04,1.48,482,Severe
Ahmedabad,7/25/2019,48.26,165.97,35.25,157.23,116.89,,35.25,50.5,29.11,6.3,80.04,1.48,502,Severe
Ahmedabad,7/26/2019,46.8,98.91,34.26,32.44,54.89,,34.26,57.06,42.64,6.3,80.04,1.48,469,Severe
Ahmedabad,7/27/2019,39.43,98.23,26.55,43,50.78,,26.55,94.84,52.09,6.23,79.17,1.46,413,Severe
Ahmedabad,7/28/2019,47.55,100.1,32.36,30.99,49.24,,32.36,83.52,47.92,6.17,78.37,1.45,478,Severe
Ahmedabad,7/29/2019,43.84,148.04,33.11,42.69,58.58,,33.11,70.53,64.25,6.3,80.04,1.48,515,Severe
Ahmedabad,7/30/2019,41.45,,31.74,30.62,50.01,,31.74,63.85,43.27,5.77,71.74,1.7,461,Severe
Ahmedabad,7/31/2019,28.8,,32.52,50.61,61.74,,32.52,53.38,34.57,2.88,24.5,3.39,,
Ahmedabad,8/1/2019,47.31,110.65,59.19,23.06,66.37,,59.19,50.69,24.93,2.88,24.5,3.39,957,Severe
Ahmedabad,8/2/2019,56.72,139.31,45.45,45.13,68.12,,45.45,52.12,28.08,2.88,24.5,3.39,685,Severe
Ahmedabad,8/3/2019,45.43,118.95,36.56,30,55.58,,36.56,41.96,30.53,2.51,28.31,1.94,492,Severe
Ahmedabad,8/4/2019,37.7,106.26,25.9,37.43,47.63,,25.9,39.98,40.88,2.14,32.05,0.52,464,Severe
Ahmedabad,8/5/2019,43.43,153.39,29.34,33.44,49.72,,29.34,44.51,43.28,2.14,32.05,0.52,477,Severe
Ahmedabad,8/6/2019,50.53,181.39,38.94,57.64,70.29,,38.94,39.45,41.18,2.14,32.05,0.52,564,Severe
